name,x,y,z,region
E142,0.022161971830985918,-0.08283802816901407,-0.02992605633802816,Occipital
E143,0.02716197183098592,-0.07783802816901408,-0.04692605633802816,Cerebellar/Neck
E144,0.032161971830985916,-0.07083802816901408,-0.06492605633802816,Cerebellar/Neck
E145,0.026161971830985918,-0.06783802816901408,-0.08692605633802816,Cerebellar/Neck
E146,0.0031619718309859194,-0.07183802816901408,-0.09092605633802817,Cerebellar/Neck
E147,-0.01883802816901408,-0.06983802816901408,-0.08592605633802816,Cerebellar/Neck
E148,-0.03083802816901408,-0.06883802816901408,-0.06792605633802816,Cerebellar/Neck
E149,-0.02683802816901408,-0.07683802816901408,-0.048926056338028164,Cerebellar/Neck
E150,-0.01883802816901408,-0.08383802816901408,-0.02992605633802816,Occipital
E151,-0.011838028169014081,-0.08983802816901408,-0.011926056338028162,Occipital
E152,0.011161971830985919,-0.08783802816901408,-0.010926056338028161,Occipital
E153,0.04016197183098592,-0.07383802816901408,-0.02992605633802816,Occipital
E154,0.04316197183098592,-0.06783802816901408,-0.04592605633802816,Cerebellar/Neck
E155,0.04416197183098592,-0.05483802816901408,-0.08592605633802816,Cerebellar/Neck
E156,0.030161971830985918,-0.06283802816901408,-0.10292605633802816,Cerebellar/Neck
E157,0.005161971830985919,-0.06883802816901408,-0.10792605633802817,Cerebellar/Neck
E158,-0.020838028169014082,-0.06483802816901409,-0.10992605633802816,Cerebellar/Neck
E159,-0.03583802816901408,-0.06083802816901408,-0.08692605633802816,Cerebellar/Neck
E160,-0.04583802816901408,-0.05783802816901408,-0.06992605633802816,Cerebellar/Neck
E161,-0.04083802816901408,-0.06883802816901408,-0.05092605633802816,Cerebellar/Neck
E162,-0.03883802816901408,-0.07683802816901408,-0.03192605633802816,Cerebellar/Neck
E163,-0.03183802816901408,-0.08483802816901408,-0.012926056338028161,Occipital
E164,-0.04183802816901408,-0.04983802816901408,-0.10592605633802817,Cerebellar/Neck
E165,-0.05283802816901408,-0.06583802816901409,-0.033926056338028164,Cerebellar/Neck
E166,-0.01283802816901408,-0.01583802816901408,0.08607394366197184,Central
E167,-0.016838028169014082,0.004161971830985919,0.08307394366197184,Central
E168,0.0011619718309859195,0.018161971830985918,0.08307394366197184,Central
E169,0.015161971830985919,0.0071619718309859194,0.08307394366197184,Central
E170,0.0071619718309859194,-0.013838028169014081,0.08707394366197184,Central
E171,-0.02383802816901408,-0.02983802816901408,0.08407394366197184,Central
E172,-0.03083802816901408,-0.01283802816901408,0.08307394366197184,Central
E173,-0.028838028169014082,0.01216197183098592,0.07907394366197183,Central
